종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"252670","KODEX 200선물인버스2X","2160","30","1.41","2161.51","2130","2170","2115","103258841","221634543740","2377512000000","0","1100700000","코스피 200 선물지수","1995.56","-10.37","-0.52"
"305720","KODEX 2차전지산업","22290","-55","-0.25","22314.54","22405","22410","22055","951013","21159439865","1297278000000","0","58200000","FnGuide 2차전지 산업 지수","3877.89","-20.84","-0.53"
"271060","KODEX 3대농산물선물(H)","11470","70","0.61","11466.91","11410","11485","11410","10630","121784520","9290700000","0","810000","S&P GSCI Grains Select Index ER","24.12","-0.40","-1.63"
"368680","KODEX Fn K-뉴딜디지털플러스","11625","-80","-0.68","11621.35","11705","11705","11595","1773","20610870","17437500000","0","1500000","FnGuide K-뉴딜 디지털 플러스 지수","2773.85","-19.84","-0.71"
"395170","KODEX Fn Top10동일가중","8930","-50","-0.56","8929.39","9025","9035","8910","7387","65934365","8037000000","0","900000","FnGuide TOP10 동일가중 지수","1394.71","-7.02","-0.50"
"337120","KODEX Fn멀티팩터","14095","0","0.00","14080.23","14100","14120","14040","2113","29778235","9866500000","0","700000","FnGuide 멀티팩터 지수","8784.97","-33.47","-0.38"
"325010","KODEX Fn성장","17630","-70","-0.40","17616.72","17600","17630","17530","30662","538621035","93439000000","0","5300000","FnGuide 성장 지수(PR)","4956.36","-9.71","-0.20"
"395160","KODEX Fn시스템반도체","10595","125","1.19","10597.88","10470","10625","10445","29388","309857540","24368500000","0","2300000","FnGuide 시스템반도체 지수","2428.67","30.83","1.29"
"395150","KODEX Fn웹툰&드라마","9555","30","0.31","9563.52","9525","9555","9410","8125","77254265","12421500000","0","1300000","FnGuide 웹툰&드라마 지수","1434.48","5.70","0.40"
"266370","KODEX IT","21845","100","0.46","21875.72","21820","21925","21725","16898","368680760","39321000000","0","1800000","KRX 정보기술","1872.57","10.07","0.54"
"401470","KODEX K-메타버스액티브","13355","35","0.26","13363.18","13315","13370","13155","1483384","19720745040","499477000000","0","37400000","FnGuide K-메타버스 지수","1927.60","-3.22","-0.17"
"385520","KODEX K-미래차액티브","11605","-5","-0.04","11605.87","11620","11675","11530","44453","514846195","67309000000","0","5800000","FnGuide K-미래차 지수","2166.32","-3.18","-0.15"
"385510","KODEX K-신재생에너지액티브","11955","50","0.42","11969.49","11910","12000","11790","25334","301880445","79500750000","0","6650000","FnGuide K-신재생에너지 플러스 지수","1800.56","-14.43","-0.80"
"373490","KODEX K-이노베이션액티브","11505","10","0.09","11518.25","11515","11540","11475","2272","26126755","6327750000","0","550000","FnGuide K-이노베이션 지수","2186.81","-10.76","-0.49"
"292190","KODEX KRX300","18630","-100","-0.53","18625.63","18710","18710","18600","1281","23895040","44712000000","0","2400000","KRX 300","1812.18","-8.91","-0.49"
"306950","KODEX KRX300레버리지","18940","-420","-2.17","19036.32","19370","19370","18910","2161","41119215","18940000000","0","1000000","KRX 300","1810.84","-10.25","-0.56"
"404260","KODEX KRX기후변화솔루션","10065","0","0.00","10064.95","10065","10085","10035","1183","11895090","38247000000","0","3800000","KRX 기후변화 솔루션지수","1935.81","-7.16","-0.37"
"229720","KODEX KTOP30","21270","-205","-0.95","21261.21","21400","21400","21250","379","8079260","12762000000","0","600000","KTOP 30","10505.33","-98.90","-0.93"
"291890","KODEX MSCI EM선물(H)","9795","-55","-0.56","9820.30","9950","9950","9795","312","3070115","3428250000","0","350000","iEdge Emerging Markets Futures Index(ER)","1368.73","15.76","1.16"
"289040","KODEX MSCI KOREA ESG유니버설","11970","-75","-0.62","11966.56","12035","12040","11950","696","8355010","17955000000","0","1500000","MSCI Korea ESG Universal Capped Index","1657.28","-10.43","-0.63"
"156080","KODEX MSCI Korea","18715","-120","-0.64","18715.73","18870","18870","18715","223","4188205","9357500000","0","500000","MSCI Korea Index","911.53","-6.28","-0.68"
"278540","KODEX MSCI Korea TR","12860","-80","-0.62","12855.56","12965","12965","12825","689605","8914248410","2121900000000","0","165000000","MSCI Korea TR Index","1615.99","-11.13","-0.68"
"275280","KODEX MSCI모멘텀","12760","-35","-0.27","12764.39","12760","12760","12760","1","12760","7656000000","0","600000","MSCI Korea IMI Momentum Capped","4157.66","-26.01","-0.62"
"275290","KODEX MSCI밸류","12790","-50","-0.39","12792.50","12840","12840","12745","412","5263440","8953000000","0","700000","MSCI Korea IMI Enhanced Value Capped","7512.33","-26.90","-0.36"
"275300","KODEX MSCI퀄리티","10380","-135","-1.28","10416.79","10440","10450","10380","802","8347310","6228000000","0","600000","MSCI Korea IMI Quality Capped","6009.19","-48.89","-0.81"
"269420","KODEX S&P글로벌인프라(합성)","12790","75","0.59","12729.43","12650","12790","12620","3345","42495235","14913140000","0","1166000","S&P Global Infrastructure Index","2747.65","-3.96","-0.14"
"329650","KODEX TRF3070","11620","-15","-0.13","11578.36","11695","11695","11590","142073","1650204980","117362000000","0","10100000","FnGuide TRF 3070 지수","1493.62","-2.56","-0.17"
"329660","KODEX TRF5050","12800","15","0.12","12747.57","12780","12800","12695","14136","180216330","24320000000","0","1900000","FnGuide TRF 5050 지수","1685.51","-0.43","-0.03"
"329670","KODEX TRF7030","13970","15","0.11","13926.70","13940","13970","13895","3764","52400535","23749000000","0","1700000","FnGuide TRF 7030 지수","1888.67","2.26","0.12"
"352540","KODEX TSE일본리츠(H)","13115","-10","-0.08","13116.99","13150","13150","13115","76","998635","10492000000","0","800000","Tokyo Stock Exchange REIT Index","2066.33","-3.89","-0.19"
"315930","KODEX Top5PlusTR","19395","-30","-0.15","19371.68","19500","19500","19325","2830","54836075","457722000000","0","23600000","FnGuide TOP 5 Plus Total Return 지수","1966.33","-1.72","-0.09"
"261220","KODEX WTI원유선물(H)","11950","55","0.46","11963.96","11940","12020","11935","181035","2167923265","184926250000","0","15475000","S&P GSCI Crude Oil Index ER","119.41","0.67","0.56"
"271050","KODEX WTI원유선물인버스(H)","7235","-20","-0.28","7204.33","7240","7255","7200","16774","121167700","10309875000","0","1425000","S&P GSCI Crude Oil Index ER","119.41","0.67","0.56"
"117700","KODEX 건설","3400","0","0.00","3401.28","3405","3410","3375","229209","777217880","91120000000","0","26800000","KRX 건설","681.29","-2.54","-0.37"
"300950","KODEX 게임산업","17420","90","0.52","17418.35","17330","17460","17120","38290","663620460","19162000000","0","1100000","FnGuide 게임 산업 지수","2120.94","10.51","0.50"
"266390","KODEX 경기소비재","11705","-125","-1.06","11682.28","11825","11825","11680","1136","13301485","8193500000","0","700000","KRX 경기소비재","1332.85","-15.36","-1.14"
"279530","KODEX 고배당","10225","-25","-0.24","10237.64","10270","10270","10195","5246","53607200","35787500000","0","3500000","FnGuide 고배당 Plus 지수","15190.53","-77.02","-0.50"
"132030","KODEX 골드선물(H)","12135","-70","-0.57","12133.81","12190","12190","12130","137966","1675241900","230565000000","0","19000000","S&P GSCI Gold Index(TR)","916.18","4.19","0.46"
"280940","KODEX 골드선물인버스(H)","7195","15","0.21","7223.38","7195","7195","7190","100","719270","4317000000","0","600000","S&P GSCI GOLD Index Excess Return","133.81","0.62","0.47"
"138910","KODEX 구리선물(H)","8070","-10","-0.12","8077.52","8080","8105","8055","16784","135706025","18561000000","0","2300000","S&P GSCI North American Copper Index(TR)","593.38","-2.77","-0.46"
"114260","KODEX 국고채3년","57815","15","0.03","57793.48","58040","58040","57780","2985","172597425","134940210000","0","2334000","MKF 국고채지수(총수익)","187.05","-0.18","-0.10"
